	asn.asn	asn.asnName	asn.rank	asn.organization.orgId	asn.organization.orgName	asn.cliqueMember	asn.seen	asn.longitude	asn.latitude	asn.cone.numberAsns	asn.cone.numberPrefixes	asn.cone.numberAddresses	asn.country.iso	asn.country.name	asn.asnDegree.provider	asn.asnDegree.peer	asn.asnDegree.customer	asn.asnDegree.total	asn.asnDegree.transit	asn.asnDegree.sibling	asn.announcing.numberPrefixes	asn.announcing.numberAddresses	asn
25	37598	Ebale	13876.0	496aad3601	Eb@le	True	True	15.32	-4.31	1.0	1.0	32768.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	1.0	32768.0	
26	328542	MITC-SARL	38447.0	fb0cc0273f	Mulangane Information Technology Consult SARL - MITC SARL	True	True	15.32	-4.31	1.0	4.0	1024.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	4.0	1024.0	
27	328551	Baraka-Broadband-AS	48631.0	0f337ac244	Baraka Broadband Solutions Sarl	True	True	29.09	-4.1	1.0	2.0	512.0	CD	Democratic Republic of the Congo	2.0	0.0	0.0	2.0	0.0	0.0	2.0	512.0	
28	328552	STE-MDICIS	63535.0	3436a739a4	STE MDICIS SAS	True	True	15.32	-4.31	1.0	1.0	256.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	1.0	256.0	
29	37483	Congo-Chine	63535.0	397c5eb577	ORANGE RDC	True	True	15.32	-4.31	1.0	1.0	256.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	1.0	256.0	
30	37102	CIELUX-RDC	23652.0	ca3ad1b516	CIELUX TELECOM RDC	True	True	16.4004842443423	-4.98677329906742	1.0	12.0	2816.0	CD	Democratic Republic of the Congo	3.0	0.0	0.0	3.0	0.0	0.0	12.0	2816.0	
31	327797	COWS	63535.0	23d24139f2	ITM	True	True	15.32	-4.31	1.0	1.0	256.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	1.0	256.0	
32	328566	Elite-Networks-AS	32844.0	81e5acc334	STE ELITE NETWORKS SARL	True	True	22.1848399453064	-3.23056205288873	1.0	4.0	1024.0	CD	Democratic Republic of the Congo	4.0	0.0	0.0	4.0	0.0	0.0	4.0	1024.0	
33	328569	Banque-Central-Congo	57388.0	79387e4ad0	BANQUE CENTRALE DU CONGO	True	True	15.32	-4.31	1.0	1.0	256.0	CD	Democratic Republic of the Congo	2.0	0.0	0.0	2.0	0.0	0.0	1.0	256.0	
34	328442	UNITED-SA	2282.0	5ef486f3ab	United S.A.S.	True	True	15.32	-4.31	11.0	53.0	13312.0	CD	Democratic Republic of the Congo	2.0	1.0	10.0	13.0	13.0	0.0	11.0	2816.0	
35	328443	Societe-Datco-AS	73223.0	423ef47057	Societe Datco	True	True	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	
36	328445	UNLIMITED-SARL-AS	63535.0	8727b2a261	UNLIMITED SARL	True	True	15.32	-4.31	1.0	1.0	256.0	CD	Democratic Republic of the Congo	1.0	0.0	0.0	1.0	0.0	0.0	1.0	256.0	
37																							
38	328004	ICTSI-DR-CONGO	73745.0	b2619afbf4	ICTSI DR CONGO SA	False	False	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
39	327978	ISS	73745.0	8964465e58	INTERNATIONAL SYSTEMS SARL	False	False	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
40																							
41	328470	Hologram-Identification-Services-AS	73745.0	6f6c617646	HOLOGRAM IDENTIFICATION SERVICES S.A.R.L	False	False	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
42	37785	ISPA-RDC-LUBUX-Peering	73745.0	dffe8b37f6	Internet service provider association - DRC	False	False	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
43	37788	ISPA-DRC-GOMIX-Peering	73745.0	dffe8b37f6	Internet service provider association - DRC	False	False	0.0	0.0	1.0	0.0	0.0	CD	Democratic Republic of the Congo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
